hyperparameter,loss_score,upper_bounds,lower_bounds,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.33079965 0.80228261],0.1554015699948765,88,88,0.46153846153846156,0.6538461538461539,0.9615384615384616,0.5384615384615384,0.6923076923076923,0.9230769230769231,"[-0.01793788 -0.97907652  0.01205182 -0.24257236 -0.03179259  1.23941202
  0.17697546  0.12368523  0.17764259 -0.29335532  0.79581176 -0.54079531]","[ 0.3271481   1.69670307  0.66201464 -0.9999952   1.4027784   0.67345459
 -0.73460486  1.67751428  0.38997147  0.4751677   1.8         0.48894287]","[-1.22229764 -1.55197201 -1.49226104 -0.18062011  0.44002445  0.85634571
  0.08765087 -0.24019933  0.18056913 -0.65011471  0.76651343 -0.25266738]","[ 0.24163402  1.68064798  0.45217151 -0.99999071  1.45650713  0.64829219
 -0.73803808  1.66315476  0.39446556  0.41770309  1.8         0.50356934]",3.3803815549999854,3.6572584440000355
[0.62702445 0.41947753],0.1692188435987449,89,89,0.39285714285714285,0.5714285714285714,0.8571428571428571,0.5357142857142857,0.6785714285714286,0.9285714285714286,"[ 1.12765038 -0.65998165  0.10265985 -0.50961524 -1.62687478 -0.30177796
  0.28670659 -0.00410047  0.10519037  1.00279284 -1.59173182 -2.73395921]","[-5.98944666e-04  1.57743522e+00  6.69504645e-01 -5.75439617e-01
  1.61394876e+00  3.10971772e-01  8.08366275e-02  1.60001689e+00
  7.49224976e-01 -2.89882473e-01  1.53913355e+00  2.85615299e-01]","[ 0.5643269   0.11666844  0.43853227  0.99345677 -1.37760096 -1.26894248
 -0.62729748 -0.58239377 -1.35642835  0.96325488 -1.38379775 -1.24107895]","[-0.00959211  1.79999943  0.74981864 -0.51314288  1.61983299  0.28302767
  0.05244845  1.40000041  0.25000009 -0.26886592  1.50800783  0.32757051]",3.7350794849999147,3.7758290939964354
[0.4459385  0.78010893],0.1532003860327727,90,90,0.5185185185185185,0.7407407407407407,0.9629629629629629,0.5555555555555556,0.6666666666666666,1.0,"[-1.48332583 -0.35966745 -1.83100166  0.30395285 -0.39472588  1.39985873
 -0.23025926 -1.17384858 -1.02098707  0.60640057  1.10556232  0.53113715]","[0.22516314 1.52949771 0.48237776 0.0714351  1.40000012 0.72935868
 0.25844317 1.40000029 0.35631709 0.2852544  1.73979093 0.37285386]","[-0.43421814 -0.04567368 -0.77885246 -3.31771951 -0.03968092 -0.27106967
  0.4625774  -0.22421761  0.12139145  0.2264773   0.43717685  0.78102229]","[ 0.24818829  1.54419584  0.54108004 -0.01512059  1.53312377  0.25
  0.30543041  1.40002613  0.43723198  0.26041538  1.79999996  0.41492675]",3.6702868729998954,3.9725077940092888
[0.47469281 1.40415991],0.1611922500878913,91,91,0.5833333333333334,0.8333333333333334,0.9583333333333334,0.20833333333333334,0.4166666666666667,0.7916666666666666,"[ 0.75905293  0.10005928 -0.20302656 -1.50410568 -0.9867019  -1.08853761
  0.27264853 -0.64316393 -0.33381701 -0.41295752  0.62123277  0.0670841 ]","[-0.5478417   1.79999983  0.59457866  0.45701553  1.71809715  0.38851467
  0.62537451  1.69503644  0.30684163  0.11895626  1.79999435  0.58482667]","[ 0.70683623  0.15519998 -0.64649252 -4.62269497 -2.34749372 -3.20505823
  0.82024598  0.06623337  0.85648096 -5.43314079  0.67468509 -0.68745148]","[-0.52235882  1.78652129  0.54852577  0.39670205  1.69741643  0.346119
  0.6723698   1.71520171  0.3568935   0.02869012  1.8         0.28761966]",3.914511613000059,3.865917475995957
[0.0051716  0.87282905],0.23075930501132008,92,92,0.5483870967741935,0.7419354838709677,0.967741935483871,0.967741935483871,0.967741935483871,1.0,"[-0.92938952  1.5621244   0.34786288 -0.25742641  0.00693366 -0.50447837
 -0.81609772 -0.31516722  0.9211635  -1.10086588 -0.56025122 -0.47836992]","[-0.47367909  1.77696298  0.38440498 -0.01135039  1.79998347  0.30985807
 -0.35115211  1.51078369  0.7447826   0.22160282  1.72850524  0.40448938]","[ 0.94851606  0.20526862 -0.25447633 -0.16299957 -0.88890902 -0.9530495
  0.57858324  0.63620649 -0.69131524 -0.44228583 -0.81114601 -0.95062295]","[-0.33692055  1.79976132  0.33810493 -0.0549182   1.57905619  0.27446435
  0.0497687   1.79980717  0.25964757  0.23137057  1.54113639  0.25068809]",3.9825903070000095,3.9694632629980333
[0.55429506 0.77656392],0.16448817994404466,93,93,0.5217391304347826,0.6956521739130435,0.9565217391304348,0.2608695652173913,0.4782608695652174,1.0,"[ 1.10143826 -0.78829607  1.11221328 -0.45270891  0.77429673 -0.03230983
 -0.81436928  0.6000741  -0.93620543 -0.29896929  0.12670817  0.16379068]","[ 0.40082926  1.57865841  0.30324678 -0.12286186  1.77187533  0.50226999
 -0.0478433   1.73195965  0.25000026  0.15471846  1.61101859  0.34412775]","[ 0.39340507 -1.37279584  0.8803099  -1.94310139  1.11261504 -1.53223978
 -2.34667096  0.74878333 -4.78154213 -0.31430664 -0.45088427  0.44361073]","[ 0.3858991   1.57222306  0.29931848 -0.13690928  1.73400088  0.31997589
 -0.10348026  1.79999996  0.25000031  0.14073046  1.40002052  0.46775177]",3.750254023999787,3.9074861479894025
[0.19136535 0.82521048],0.15521212989207428,94,94,0.5384615384615384,0.5769230769230769,0.8846153846153846,0.7307692307692307,0.9230769230769231,1.0,"[-0.40628242  0.4174381   0.3889681   0.50632135 -0.88665123  0.24377698
 -1.19403943  0.2031988   0.66517668 -1.99244239  0.64880366  0.60468069]","[-0.44853549  1.72144425  0.45527864  0.44662965  1.60776201  0.73089564
 -0.50311443  1.60213856  0.74868324 -0.36871689  1.79999963  0.74876161]","[ 1.89714951 -0.64802261 -1.62152414 -2.65288261 -0.17656109 -0.98161747
  0.61862872  0.04513507 -0.63020589 -0.95234811 -0.6492291   0.83837293]","[-0.32872744  1.64752593  0.32151941  0.19433572  1.73521045  0.25
 -0.2120821   1.54629047  0.25078393 -0.42994228  1.40000613  0.74503516]",3.3954326140001285,3.596012519992655
[0.08857819 0.85354605],0.14634460466810578,95,95,0.5,0.6666666666666666,0.9333333333333333,0.9666666666666667,0.9666666666666667,1.0,"[ 0.51269027  0.54946134 -0.81232771  1.17090503  0.54699047  1.7064073
 -0.07259111 -1.57222955 -0.78589832 -1.6585792  -0.30764277 -1.39537707]","[-0.44495376  1.46298237  0.56650089  0.55314262  1.79993788  0.66344903
 -0.3399052   1.43567056  0.38721158 -0.39101876  1.46375245  0.25      ]","[-0.04771504  0.24265885  0.14194143  0.06850115  0.82954848  1.24273172
 -0.1195445  -0.81876778  0.51682727 -0.25990385 -0.29765493  0.14486601]","[-0.55484014  1.48799146  0.744148    0.50104857  1.79972776  0.71468138
 -0.47296383  1.4057589   0.70430733 -0.44293671  1.40593802  0.3344402 ]",3.653983794999931,3.7588755799952196
[0.23592765 1.55159679],0.16449307426666313,96,96,0.46153846153846156,0.6538461538461539,0.9615384615384616,0.8846153846153846,1.0,1.0,"[ 1.29368929  0.36820618  1.58624589  1.85499862 -0.61340176 -0.80525924
 -0.9924692  -0.15416839 -1.25574261  0.57556597 -0.87696679 -0.65781589]","[ 0.40924568  1.43062331  0.28645383 -0.05008962  1.40000045  0.37416157
  0.12636134  1.71165785  0.2500002   0.06133964  1.4001174   0.37816501]","[ 0.34270536 -0.27753331  0.27368905  0.63282366 -0.49150599 -1.06358947
 -1.14094816  0.00140942 -0.14354463 -0.06408107 -1.05184326 -0.89971707]","[ 0.40102562  1.42165194  0.27596208 -0.04870509  1.42536038  0.28960528
  0.10222455  1.72127527  0.25000439  0.02620153  1.41949109  0.25000108]",4.1881296259998635,3.918570952999289
[0.49025721 0.48419599],0.1588091100005026,97,97,0.5185185185185185,0.6666666666666666,1.0,0.7407407407407407,0.8888888888888888,1.0,"[ 0.48483935  0.20727946  0.61603409  0.14666203  0.0129926   0.00667016
 -0.0516059  -0.52343337 -0.02514433  0.27717137  0.5667304   0.40541023]","[ 0.28108371  1.63324973  0.5610989  -0.26425721  1.50022944  0.32919325
 -0.49738218  1.4011155   0.58009591  0.17051918  1.79994111  0.51020836]","[-0.39357995 -0.94436077 -0.40354503  0.88034372  0.83493952 -0.63631971
 -0.41631227  0.33125118  0.3314755   0.34483923 -0.49333632  0.00288888]","[ 0.22812458  1.52141659  0.42959573 -0.21519956  1.56646124  0.27583623
 -0.52173098  1.60400675  0.74997169  0.17641245  1.4875528   0.36450404]",3.551505974000065,3.7868773649970535
[0.20828121 0.84854985],0.16125081863739435,98,98,0.5416666666666666,0.7083333333333334,0.9166666666666666,0.7083333333333334,0.8333333333333334,0.9583333333333334,"[-1.44776724 -2.08053151 -1.81727103  0.18569903 -0.20664737 -0.29930224
  0.18460694 -0.4207516  -0.02183527  0.19070935 -1.57178944 -0.09653091]","[0.12515752 1.70297401 0.28000931 0.24643574 1.40000006 0.42820379
 0.65002076 1.65652439 0.36020268 0.03698334 1.4130379  0.25000303]","[ 3.15834185  0.02002587  0.85320177 -0.4936099  -0.26120051  1.09530028
  0.28446296 -0.95421203  4.02829471 -2.20737871  0.17890763 -0.17375823]","[ 0.27237623  1.79002172  0.74994872  0.18969046  1.40009578  0.74999997
  0.99999995  1.54300423  0.62185373 -0.08462616  1.79999999  0.25000001]",3.5817471510001724,3.605874494998716
[0.24964591 1.16389526],0.16132878057157912,99,99,0.6666666666666666,0.7916666666666666,1.0,0.7916666666666666,1.0,1.0,"[-0.34671103 -0.42259651  0.63982184  0.33923319  0.52301761  0.48208702
  0.8073743   0.33591284 -0.78421845 -0.08765638  0.81397986 -0.31274305]","[-0.31832091  1.52928173  0.35959681  0.67229324  1.7777481   0.41657928
 -0.15231291  1.57104588  0.39707735 -0.52679799  1.50574759  0.45434226]","[-0.08769942 -0.91457601  0.12278264  0.00581745  0.19074823 -0.36627034
  0.73983956 -0.21049123 -0.77722085  0.04743096 -0.01545053 -0.06739463]","[-0.31667626  1.48052338  0.34862229  0.63147616  1.75936215  0.32898156
 -0.1270085   1.41074146  0.26701758 -0.47997494  1.40000069  0.49349307]",3.598492780000015,3.7086164689972065
