hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.52499912 0.13912067],0.14200000000000002,0.4787234042553192,0.6671732522796353,0.9437689969604863,0.5547112462006079,0.7659574468085106,0.9544072948328267,"[ 0.73512706 -0.28024399  1.31002255 -0.1585201  -1.37121601  0.10162066
 -1.23140552  0.67981587 -0.08089601  0.75006647 -2.38567154 -1.17496799]","[ 0.23353445  1.67194863  0.32084607 -0.33405386  1.55324927  0.45631426
  0.02071067  1.50905839  0.26592919 -0.15747585  1.4         0.51967469]","[  2.10383519   0.17118749   3.11681064   0.55187644  -4.76820446
  -1.02831387  -6.59618051   4.54142852  -1.23107711   2.83015344
 -20.88158283  -4.26064564]","[ 0.23339016  1.67339308  0.31887944 -0.32785098  1.54898031  0.44363024
  0.02186007  1.55391033  0.25000005 -0.15304063  1.4         0.49792281]",21.909575825000047,35.87551983073354
[0.06773204 0.39668843],0.19000000000000006,0.5106382978723404,0.675177304964539,0.9347517730496454,0.49361702127659574,0.6709219858156028,0.9290780141843972,"[-0.3375029  -0.98892373 -0.64316621  0.28706789  0.39054833 -0.50504727
  0.3789254   0.48838251 -0.73928149 -0.06205369 -0.6410137   0.53894998]","[ 0.16815977  1.71512057  0.36427421 -0.25245887  1.63505847  0.65805355
 -0.1226228   1.60718797  0.41797348  0.52942246  1.6296954   0.26396448]","[-0.68711175 -2.80014716 -1.80962274  1.42333234  1.48048588 -2.14649652
 -0.73593277  1.74765188  0.69821952  0.57675346 -1.84211314  2.42748991]","[ 0.16815003  1.71145033  0.36122078 -0.23335425  1.65702578  0.58677646
 -0.14545148  1.65699464  0.53494741  0.53277926  1.62846674  0.26809925]",22.778072905000045,36.410402320325375
[0.52918373 0.10997916],0.14200000000000002,0.4772727272727273,0.6537433155080213,0.9385026737967914,0.41310160427807485,0.6163101604278075,0.9532085561497327,"[ -1.11403411   0.77078396   0.92969997  -1.6642197   -0.43609699
  -1.22137295  -1.05529541   1.33386507   0.88491663  -5.71590129
  -1.76784906 -16.24601746]","[-0.47757995  1.74729535  0.63595134  0.2998725   1.58430886  0.37984837
 -0.29636206  1.53369703  0.36978936  0.01607461  1.63500689  0.25000002]","[  -2.72291446    2.34757814    2.22362726   -5.46125384   -4.43052111
   -5.31292308   -2.47213057    2.73899913    2.38545003  -16.07163699
   -6.54558153 -148.83121666]","[-0.47752414  1.75003629  0.63425024  0.29581908  1.57388807  0.37011233
 -0.29625997  1.53096557  0.37072348  0.01896449  1.60956543  0.25000004]",22.237914534000083,37.95214057061821
[0.38020079 0.41975022],0.45199999999999996,0.5053272450532724,0.6971080669710806,0.954337899543379,0.3987823439878234,0.5570776255707762,0.8964992389649924,"[-1.16995671 -0.11307018  0.89805757  0.12341184  1.00465003  0.10563923
  1.18150341 -1.99447427 -7.39885924 -4.58267772 -0.58435361  0.43824205]","[-0.65663988  1.44632085  0.38289745  0.11253423  1.68345438  0.50174838
 -0.00607632  1.4         0.25       -0.19937324  1.56617612  0.74999996]","[  -3.5374383    -0.41851165    4.60885954    2.38262457    2.6464304
    2.16794068   17.45973931   71.26428386 -129.52497909  -16.81628085
   -2.20306921    8.44758218]","[-0.65508827  1.44634653  0.38372658  0.12957778  1.68354125  0.57468388
  0.00518807  1.8         0.25000001 -0.19420604  1.55557692  0.74999975]",26.62408911600005,40.14879705570638
[0.35731776 0.16640674],0.14200000000000002,0.4554183813443073,0.6502057613168725,0.9478737997256516,0.5075445816186557,0.7215363511659808,0.9629629629629629,"[ 1.12383956 -1.21371293 -1.44045653 -0.34699506  0.02169729 -0.52682756
  0.90546916 -0.91693159  1.0764851   0.40378237 -0.33877767  0.26098138]","[-0.42208516  1.78384571  0.4105112   0.12035779  1.79994799  0.57970339
  0.5015868   1.61615955  0.37730411  0.43415022  1.61281089  0.3121333 ]","[ 5.59235592 -6.20044824 -6.76696743 -4.92251905 -2.81670039 -5.72258763
  3.75257328 -2.57862515  4.78838142  0.16218271 -0.35440182 -0.58564837]","[-0.41557866  1.77799092  0.40356731  0.09224813  1.72627634  0.42472783
  0.50963371  1.61584571  0.38704398  0.43067238  1.61431923  0.3075913 ]",23.252930336999952,35.15246128756553
[0.04171641 1.42998732],0.373,0.47384615384615386,0.6615384615384615,0.9584615384615385,0.8323076923076923,0.92,0.98,"[ 1.13315308 -0.56274096  0.8363832   0.48167971  0.90701206  0.50475011
  0.3846906  -0.71125905 -0.20727525  0.46221257 -0.11314684 -1.19244712]","[ 0.35144805  1.60081345  0.4428038   0.36951455  1.67971941  0.62662285
 -0.27223642  1.65977449  0.26364929 -0.22144916  1.60248391  0.36201809]","[-22.00084775  -2.03000912 -14.65653617  10.4570956    6.95654281
   6.19360495  -4.73225264   1.43646277   6.40175302   7.28514751
  -1.47839013  -6.9276368 ]","[ 0.30587762  1.58583057  0.3704171   0.39551223  1.75992151  0.62690963
 -0.40478484  1.77990321  0.42473708 -0.20154353  1.58924477  0.34932907]",23.98221971299995,35.78530853334814
[0.37460955 0.431506  ],0.45199999999999996,0.5409356725146199,0.6988304093567251,0.945906432748538,0.5935672514619883,0.7646198830409356,0.9371345029239766,"[-1.01964285  2.58044364 -0.5062621   0.45035565 -0.69702428  0.3397079
 -0.22691414  0.4267403  -0.21518518  0.18486723 -0.20555561  0.51113092]","[0.08359216 1.52876913 0.41842036 0.45470906 1.56004622 0.38860099
 0.27894895 1.43740125 0.57895384 0.0342251  1.4        0.52562585]","[-6.09878927 13.40845857 -4.04513128  0.48659017 -4.50716287  0.3549572
 -4.30331496  6.39962926 -3.72338544 -0.71047909 -1.49934492  1.41769588]","[0.07994819 1.53975805 0.39841948 0.45158013 1.55638622 0.38613553
 0.24548548 1.48712856 0.51342144 0.02666982 1.40393295 0.44760559]",26.541388450000113,40.71609944291413
[0.36218839 0.45025018],0.45199999999999996,0.5007299270072992,0.6788321167883211,0.9503649635036496,0.3927007299270073,0.5766423357664233,0.9474452554744526,"[ 1.90034007 -0.55245675  1.46463541  0.71052645 -1.70376903 -0.18779226
  0.83131283  0.35147119 -0.82856366  0.81075629 -0.7349989  -0.75735614]","[ 0.62578388  1.57648349  0.47076398 -0.19870863  1.72293999  0.40998529
 -0.28103154  1.46271726  0.52264435 -0.6646424   1.52420254  0.56794198]","[  7.37466022   0.12675652   5.66777039   7.26794207 -12.89508399
  -4.12467921  12.88510598   4.73972879 -12.54400039   3.42755549
  -6.12928864  -3.33025454]","[ 0.62786614  1.57847386  0.47168142 -0.18085404  1.68594345  0.37787164
 -0.23443928  1.48163035  0.43017722 -0.65392921  1.49956913  0.55840866]",19.76429936400018,30.04061262961477
[0.33298102 0.42308696],0.45199999999999996,0.5072083879423329,0.7011795543905636,0.9554390563564875,0.4534731323722149,0.6618610747051114,0.8964613368283093,"[-0.29605887  0.27827239 -0.42748239  0.48231851 -0.58936243  0.50914293
  0.01030813 -0.9342781   0.15524022 -0.05122919 -0.3510231  -0.40897791]","[0.70660442 1.52132879 0.53090923 0.37586306 1.67397426 0.66376918
 0.27053896 1.71924731 0.61501381 0.6479754  1.6079582  0.51102371]","[-2.89903668  0.39158463 -3.92035355  1.1278845  -2.99400397  1.07325393
  0.72092443 -4.95017109  1.07070155  0.19071355 -1.8669408  -1.23974542]","[0.70093343 1.52052808 0.52489714 0.36755316 1.66451488 0.64527898
 0.28133254 1.69602797 0.63656806 0.65217798 1.6058884  0.51329415]",22.69252878400016,35.055162402801216
[0.38581761 0.42492403],0.46699999999999997,0.4895833333333333,0.6904761904761905,0.9404761904761905,0.5699404761904762,0.7723214285714286,0.9553571428571429,"[-1.06617442  0.37833432  0.75431208  1.93602904 -3.44563575 -2.27058347
 -0.30837016  0.28841117  0.44753289  0.87980616  1.80962065  0.81981628]","[-0.12349154  1.6271      0.6855849  -0.40912611  1.63154761  0.36114455
 -0.89918433  1.54611014  0.48651125  0.84883439  1.77851351  0.5635463 ]","[ -6.44844386   1.46102511   0.55415642  20.82052827 -15.78440678
 -25.56009212 -10.18997976   0.13382483  12.39947029  26.56323677
  17.52714826  23.99840807]","[-0.13323316  1.6295164   0.74935102 -0.40166784  1.62956191  0.35350337
 -0.91691767  1.54382096  0.49905177  0.88362685  1.79305945  0.58574449]",23.760662044000128,36.16189295146614
